"No.","Time","Source","Destination","Protocol","Length","Info"
"1389","32.601317600","10.33.98.162","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1390","32.601538600","fe80::335b:ff99:bc5f:c321","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1391","32.601772500","10.33.98.162","123.16.110.247","UDP","163","9993  >  63138 Len=121"
"1392","32.601790100","10.33.98.162","123.16.110.247","UDP","163","30061  >  63138 Len=121"
"1393","32.601803300","10.33.98.162","123.16.110.247","UDP","163","55933  >  63138 Len=121"
"1394","32.602071500","10.33.98.162","79.127.159.187","UDP","365","9993  >  9993 Len=323"
"1395","32.602088400","10.33.98.162","79.127.159.187","UDP","365","30061  >  9993 Len=323"
"1396","32.602102600","10.33.98.162","79.127.159.187","UDP","365","55933  >  9993 Len=323"
"1397","32.602119200","10.33.98.162","204.80.128.1","TLSv1.2","1527","Application Data, Application Data, Application Data, Application Data, Application Data"
"1398","32.602144000","10.33.98.162","35.208.142.93","UDP","365","9993  >  21049 Len=323"
"1399","32.602155800","10.33.98.162","35.208.142.93","UDP","365","30061  >  21049 Len=323"
"1400","32.602169100","10.33.98.162","35.208.142.93","UDP","365","55933  >  21049 Len=323"
"1401","32.650000600","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13502 Ack=48589 Win=520 Len=0"
"1402","32.653990300","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13502 Ack=49949 Win=519 Len=0"
"1403","32.653990300","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13502 Ack=50062 Win=519 Len=0"
"1404","32.879854800","204.80.128.1","10.33.98.162","TLSv1.2","133","Application Data"
"1405","32.879854800","204.80.128.1","10.33.98.162","TLSv1.2","133","Application Data"
"1406","32.879922800","10.33.98.162","204.80.128.1","TCP","54","63539  >  443 [ACK] Seq=50062 Ack=13660 Win=251 Len=0"
"1407","33.545500800","10.33.98.162","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1408","33.545745500","fe80::335b:ff99:bc5f:c321","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1409","33.546731500","10.33.98.162","204.80.128.1","TLSv1.2","187","Application Data"
"1410","33.546835000","10.33.98.162","123.16.110.247","UDP","163","9993  >  63138 Len=121"
"1411","33.546873400","10.33.98.162","123.16.110.247","UDP","163","30061  >  63138 Len=121"
"1412","33.546947500","10.33.98.162","123.16.110.247","UDP","163","55933  >  63138 Len=121"
"1413","33.547054100","10.33.98.162","79.127.159.187","UDP","365","9993  >  9993 Len=323"
"1414","33.547099700","10.33.98.162","79.127.159.187","UDP","365","30061  >  9993 Len=323"
"1415","33.547139400","10.33.98.162","79.127.159.187","UDP","365","55933  >  9993 Len=323"
"1416","33.547203800","10.33.98.162","35.208.142.93","UDP","365","9993  >  21049 Len=323"
"1417","33.547241900","10.33.98.162","35.208.142.93","UDP","365","30061  >  21049 Len=323"
"1418","33.547278600","10.33.98.162","35.208.142.93","UDP","365","55933  >  21049 Len=323"
"1419","33.548148500","10.33.98.162","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1420","33.548354800","fe80::335b:ff99:bc5f:c321","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1421","33.548599700","10.33.98.162","123.16.110.247","UDP","163","9993  >  63138 Len=121"
"1422","33.548671400","10.33.98.162","123.16.110.247","UDP","163","30061  >  63138 Len=121"
"1423","33.548719800","10.33.98.162","123.16.110.247","UDP","163","55933  >  63138 Len=121"
"1424","33.548887600","10.33.98.162","79.127.159.187","UDP","365","9993  >  9993 Len=323"
"1425","33.548959000","10.33.98.162","79.127.159.187","UDP","365","30061  >  9993 Len=323"
"1426","33.549013000","10.33.98.162","79.127.159.187","UDP","365","55933  >  9993 Len=323"
"1427","33.549069300","10.33.98.162","204.80.128.1","TLSv1.2","1527","Application Data, Application Data, Application Data, Application Data, Application Data"
"1428","33.549131600","10.33.98.162","35.208.142.93","UDP","365","9993  >  21049 Len=323"
"1429","33.549173200","10.33.98.162","35.208.142.93","UDP","365","30061  >  21049 Len=323"
"1430","33.549217200","10.33.98.162","35.208.142.93","UDP","365","55933  >  21049 Len=323"
"1431","33.607679000","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13660 Ack=50195 Win=520 Len=0"
"1432","33.607679000","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13660 Ack=51555 Win=519 Len=0"
"1433","33.607679000","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13660 Ack=51668 Win=519 Len=0"
"1434","33.821454600","204.80.128.1","10.33.98.162","TLSv1.2","212","Application Data, Application Data"
"1435","33.875507300","10.33.98.162","204.80.128.1","TCP","54","63539  >  443 [ACK] Seq=51668 Ack=13818 Win=250 Len=0"
"1436","34.145376500","20.195.84.7","10.33.98.162","TLSv1.2","81","Application Data"
"1437","34.192763300","10.33.98.162","20.195.84.7","TCP","54","65255  >  443 [ACK] Seq=119 Ack=394 Win=252 Len=0"
"1438","35.046261200","10.33.98.162","172.253.118.188","TCP","66","[TCP Retransmission] 63550  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1439","35.329896200","Cisco_f5:74:20","Broadcast","ARP","60","Gratuitous ARP for 10.33.97.85 (Reply)"
"1440","35.602750300","10.33.98.162","10.22.103.10","DNS","74","Standard query 0xfb23 A wpad.fu.edu.vn"
"1441","35.603248800","10.33.98.162","10.22.103.10","DNS","74","Standard query 0x90c7 AAAA wpad.fu.edu.vn"
"1442","35.734776800","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.91.253"
"1443","35.756818400","10.33.98.162","20.195.84.7","TLSv1.2","85","Application Data"
"1444","36.056384400","10.33.98.162","20.195.84.7","TCP","85","[TCP Retransmission] 65255  >  443 [PSH, ACK] Seq=119 Ack=394 Win=252 Len=31"
"1445","36.118266800","20.195.84.7","10.33.98.162","TCP","66","443  >  65255 [ACK] Seq=394 Ack=150 Win=9664 Len=0 SLE=119 SRE=150"
"1446","36.611540200","10.33.98.162","10.22.103.10","DNS","74","Standard query 0x90c7 AAAA wpad.fu.edu.vn"
"1447","36.611561400","10.33.98.162","10.22.103.10","DNS","74","Standard query 0xfb23 A wpad.fu.edu.vn"
"1448","36.864792400","fe80::335b:ff99:bc5f:c321","ff02::1:2","DHCPv6","120","Information-request XID: 0xe41d8e CID: 000100012ea6f5d2a036bc32d83e "
"1449","37.833282800","10.33.98.162","204.80.128.1","TLSv1.2","99","Application Data"
"1450","37.833390300","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1451","37.833425900","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1452","37.833446600","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1453","37.833476800","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1454","37.833488200","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1455","37.833500500","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1456","37.833518400","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1457","37.833529300","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1458","37.833543400","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1459","37.833561700","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1460","37.833581100","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1461","37.833595100","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1462","37.883882900","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13818 Ack=51713 Win=520 Len=0"
"1463","37.883932200","10.33.98.162","204.80.128.1","TLSv1.2","189","Application Data, Application Data, Application Data"
"1464","37.906427000","204.80.128.1","10.33.98.162","TLSv1.2","94","Application Data"
"1465","37.906427000","204.80.128.1","10.33.98.162","TLSv1.2","94","Application Data"
"1466","37.906427000","204.80.128.1","10.33.98.162","TLSv1.2","94","Application Data"
